0,297094.18833181395894, 295072.33273782418109, 292540.54212580592139, 289516.02615580765996, 286019.08130486769369, 282072.81722007278586, 277702.85141381353606, 272936.97883906826610, 267804.82320329709910, 262337.47699570452096, 256567.13712078140816, 250526.74276512666256, 244249.62169470841764, 237769.15061105709174, 231118.43451582980924, 224330.00927406494156, 217435.57075793133117, 210465.73312451748643, 203449.81796071326244, 196415.67523985949811, 189389.53629919717787, 182395.89838062657509, 175457.43969194393139, 168594.96344932497595, 161827.36895810719579, 155171.64747800357873, 148642.90039774810430, 142254.37710727952071, 136017.52989540126873, 129942.08320852772158, 124036.11467192380223, 118306.14538871456170, 112757.23718389752321, 107393.09464107749227, 102216.16997978472500, 97227.76903301675338, 92428.15680105438514, 87816.66127267267439, 83391.77441367914435, 79151.24942138913320, 75092.19352924762643, 71211.15581627433130, 67504.20963005676458, 63967.02936900802160, 60594.96148947401525, 57383.08970639271138, 54326.29444329138641, 51419.30665944899374, 48656.75624020262330, 46033.21518192274380, 
10,288332.76839319063583, 286430.09561617393047, 284488.01315629883902, 282397.83303146500839, 279927.65546155610355, 277074.17279834876535, 273853.11555308708921, 270280.81590405723546, 266375.37608212145278, 262156.11562520830194, 257642.73503019870259, 252854.28229963060585, 247807.85049955704017, 242516.91008979774779, 236989.17988931635045, 231223.99643061612733, 225209.14589474693639, 218917.62354197655804, 212305.35091486782767, 205312.16026631428394, 197869.97635095025180, 189923.41582333750557, 181464.70274344281643, 172575.04306002039812, 163448.93715089521720, 154373.43321567992098, 145651.36863429867662, 137515.33314291216084, 130076.72749471296265, 123331.89078020957822, 117204.07231800824229, 111588.83229701819073, 106385.04588604337187, 101509.25714823426097, 96898.68188206999912, 92508.81534774265310, 88309.34793365867517, 84280.16644865844864, 80408.11264392755402, 76684.58082704199478, 73103.80429454782279, 69661.72848310724657, 66355.24827859269863, 63181.72054069189471, 60138.66143618762726, 57223.57092491046933, 54433.76933086512145, 51766.57303800016962, 49216.26573240911239, 46805.98604735588742, 
20,283906.42327377811307, 279806.05909203714691, 276726.40356975689065, 275315.05912658642046, 273800.28944455255987, 271972.65526341350051, 269838.21679827338085, 267404.44871873268858, 264679.86335317080375, 261673.66348638720228, 258394.64505432292935, 254849.50039054331137, 251040.58674831746612, 246962.90767934662290, 242600.10423206663108, 237919.30521087045781, 232864.88636874782969, 227351.86838541182806, 221261.09889650795958, 214440.88128328579478, 206722.99411431874614, 197964.14713150882744, 188117.10183385902201, 177314.21033395730774, 165914.09549483002047, 154467.36583542721928, 143557.35944643526454, 133633.03966784061049, 124912.44332803293946, 117391.54445909775677, 110923.42839399880904, 105304.60224198755168, 100335.77883278073568, 95850.73800501102232, 91723.07343693838629, 87862.36075290691224, 84206.68213060617563, 80715.05246432384592, 77361.12993425629975, 74128.46393262232596, 71007.09211278626753, 67991.19156802893849, 65077.44611468481162, 62264.02414195696474, 59549.87725503420370, 56934.31581022274622, 54416.47443866473623, 51996.76020175218582, 49663.59292104498309, 47466.21452285920532, 
30,284783.66577713243896, 276470.05636979732662, 269938.83882255433127, 268462.15558070631232, 267670.67233863356523, 266775.99209916562540, 265663.68830469303066, 264309.91931317572016, 262715.62111745245056, 260881.88031047731056, 258808.11837807757547, 256490.16219694077154, 253917.07666642102413, 251066.76913140164106, 247900.05391575102112, 244352.88936110446230, 240326.85220832540654, 235678.92802373718587, 230213.87324602951412, 223686.21989787244820, 215824.03757153567858, 206390.96368788488326, 195294.30435787499300, 182709.54362001447589, 169148.41067128977738, 155410.64263165925513, 142350.22753157513216, 130623.55018424519221, 120558.50246561090171, 112163.94357333616063, 105239.42576878188993, 99497.09705873671919, 94649.51432354682765, 90453.39051217852102, 86720.97697279711429, 83316.06383742933394, 80144.14321328389633, 77141.90657632444345, 74268.26725500258908, 71497.43929074665357, 68813.89710169065802, 66208.83549084725382, 63677.74981390145695, 61218.74051076049363, 58831.44875844989292, 56516.39531032817467, 54273.73045597840246, 52108.07310121563933, 49998.88822189850907, 48015.49427289750747, 
40,288680.38761440629605, 276320.57905320270220, 265170.83706022502156, 262405.09884796792176, 261693.39166809682501, 261514.14363526523812, 261339.51703342772089, 261003.80501631734660, 260485.14773099275772, 259778.00493828597246, 258874.13235337071819, 257759.93102283391636, 256412.55818165544770, 254794.16605134273414, 252843.97621496394277, 250467.80429004156031, 247525.10231611542986, 243814.96776316556497, 239065.53780862022541, 232936.30841126869200, 225049.77296189180925, 215073.82354358868906, 202866.92444054281805, 188641.58166230100323, 173052.19168728854856, 157129.99480158797815, 141987.14082580854301, 128474.25616385063040, 117027.07574678999663, 107678.11488932576322, 100189.91326184725040, 94206.99565307788725, 89365.92624195027747, 85353.89635855144297, 81925.32397965292330, 78898.99257269476948, 76147.09358155989321, 73582.62661751157430, 71148.20338724841713, 68807.18934695055941, 66537.12587728963990, 64325.03279599208327, 62164.13788457329792, 60051.64340718305903, 57987.12481412381021, 55971.80606747808633, 54005.70431692217244, 52098.62610650004353, 50221.14123170512903, 48454.26613235794503, 
50,292075.10597942781169, 277978.22116207919316, 263208.13133934815414, 257986.46161029094947, 256259.74135426699650, 256308.56081822840497, 256896.54794845514698, 257497.81087808925076, 257995.45328942150809, 258364.28710702981334, 258588.94574265403207, 258647.94077709375415, 258507.90302509337198, 258116.52692262432538, 257392.64181682164781, 256212.94289356679656, 254395.48941193253268, 251681.82720981890452, 247723.38747988091200, 242084.19893348115147, 234280.63786867880845, 223884.15551040702849, 210702.99453008282580, 194982.07460794504732, 177509.27430493754218, 159528.41938313550781, 142396.52217717430904, 127143.27877502633783, 114305.20777505279693, 103944.77164738629654, 95801.42964012955781, 89469.21800834753958, 84522.60620932948950, 80588.90889881316980, 77369.97899864609644, 74641.50267852976685, 72242.25474415528879, 70060.43312468429212, 68020.87739417342527, 66074.60393007531820, 64190.83772154926555, 62351.20824514153355, 60545.64176807457989, 58769.50838747654052, 57021.57808977750392, 55303.43269929584494, 53613.62156755572505, 51967.12573710285506, 50328.66175993196521, 48781.92552522752521, 
60,292469.09012088039890, 279576.99535331240622, 263962.25599168508779, 255937.04035529878456, 251999.30506178466021, 251461.70624437541119, 252435.76780302857514, 253821.14680557558313, 255258.71321009972598, 256647.48023370958981, 257953.72173284346354, 259148.50722352837329, 260189.35177192839910, 261010.77775998439756, 261512.39239502791315, 261542.78953536183690, 260879.43725666141836, 259206.87919329947908, 256100.22406667223549, 251028.42656759111560, 243402.33075999436551, 232697.77448973077117, 218672.77305813715793, 201600.81991851850762, 182395.16338378470391, 162493.36453905512462, 143484.41869892718387, 126562.24184872960905, 112353.86736500170082, 100952.98588452460535, 92085.28515608653834, 85309.58914793378790, 80152.76165428286185, 76193.71739173322567, 73089.08352997478505, 70574.97464320845029, 68457.63674456534500, 66599.87721316634270, 64907.51845431015681, 63317.80242656344490, 61790.26494997597911, 60299.91752223133517, 58832.33219732966973, 57380.14197850644268, 55940.44610078493861, 54514.99798049250239, 53099.75287071985804, 51713.35306562474580, 50319.66922962938406, 48997.14183651864732, 
70,289458.57462557492545, 279734.29074985190528, 266372.77961320208851, 256421.52294632390840, 249592.49417567308410, 247486.97209552064305, 248195.70571980244131, 250056.89396680210484, 252302.06080380355706, 254639.50830763991689, 256974.15699013209087, 259260.81519611374824, 261448.26162638780079, 263459.11807912547374, 265174.92975818441482, 266417.21517411788227, 266923.74518389272271, 266322.87075444363290, 264114.30039364472032, 259673.20645895763300, 252306.55851766795968, 241396.58390756705194, 226651.90006243184325, 208370.74726973942597, 187583.98434763643309, 165904.83789460404660, 145142.43331395104178, 126641.48940082803892, 111109.97489186970051, 98668.88965403902694, 89034.62897518700629, 81741.37592276216310, 76282.37906802308862, 72200.36224456210039, 69115.99879985347798, 66731.31473206701048, 64822.35230229784065, 63226.80349070738157, 61830.66690208332875, 60556.17034270600561, 59351.84697015421261, 58184.86727521850116, 57035.37901568867528, 55892.39588453741453, 54750.38087602353335, 53611.05626739539730, 52467.28329493413912, 51338.38318111850822, 50192.85433468458359, 49098.30848266777321, 
80,284584.75586392282275, 278119.75740802235669, 268906.81561930052703, 258831.76919062761590, 249447.84455119830091, 245011.97444021020783, 244591.76684773154557, 246395.52509979717433, 249195.39083414696506, 252365.26637619955000, 255661.00296483680722, 258988.60159499326255, 262280.84724126994843, 265448.81185082427692, 268357.13087191199884, 270801.30529910541372, 272480.42776075639995, 272967.78780699172057, 271689.23824569507269, 267928.46401826065267, 260891.33589317573933, 249869.41196916846093, 234523.17285519768484, 215171.21794326120289, 192953.70512526063249, 169642.32213035231689, 147255.72209740919061, 127278.04808962361130, 110491.03837278627907, 97036.80838873640459, 86622.41019745897211, 78762.28476031744503, 72927.14314086739614, 68635.23821329214843, 65481.77088878475479, 63142.12431472790922, 61366.24295582005288, 59968.22462169906066, 58814.16300937675260, 57810.39034369371075, 56893.27083103956102, 56020.95360370710114, 55167.08163194100780, 54316.19336905563250, 53459.10178884336347, 52597.04072549314151, 51720.19122801959747, 50844.56928636597877, 49947.80835319783364, 49084.02318403107347, 
90,280322.41606370836962, 275476.45549766538898, 270329.94099223357625, 261964.58486090609222, 251399.33922810963122, 244541.11553662960068, 242174.27606555892271, 243178.73590190400137, 246094.36130521309678, 249884.10045980347786, 254036.46099777298514, 258340.55766723363195, 262687.89835814089747, 266971.96386231400538, 271040.86955518909963, 274665.20812913944246, 277506.58667638746556, 279084.76012096490012, 278753.97905683080899, 275709.83350410341518, 269061.07249106478412, 258012.31747139117215, 242177.32342654909007, 221889.79572889348492, 198389.52919676774764, 173589.96688267771970, 149709.79088500613580, 128363.43711318833812, 110401.82543299689132, 95982.99247209331952, 84801.71415299852379, 76352.46539667178877, 70089.57123081886675, 65516.37652251784311, 62213.11507927151251, 59837.45627780171344, 58119.23179125349270, 56852.04667142604740, 55883.06869601724611, 55102.45094923603756, 54433.50964537294203, 53824.30790590847755, 53240.90631354387006, 52662.57060611421184, 52075.41797456309723, 51479.41964709966851, 50863.14774617373769, 50235.37941745906573, 49585.26838680441142, 48953.50567914624116, 
