0,295626.20392974797869, 288685.22326000040630, 278833.57885115320096, 266468.16914685227675, 252060.33973825632711, 236121.14921689423500, 219167.42434029467404, 201691.93779222798184, 184139.98896322722430, 166893.47339837613981, 150262.42755250088521, 134483.19391399284359, 119721.83696815928852, 106081.24201424611965, 93610.38261533281184, 82314.46189352676447, 72164.93339077806741, 63108.72114283977135, 55076.24090525959036, 47988.05158531907364, 
100,272301.07687156932661, 277656.17175746749854, 288158.48046306031756, 294494.34050190029666, 295674.69526433688588, 301420.36869078699965, 312117.95138268562732, 318915.99510761123383, 305200.94412624544930, 256520.94232922769152, 178068.75308057726943, 108315.14849612938997, 64570.89768924482632, 41145.37271180933021, 30537.19485526121571, 27902.75503412264516, 28157.22029985117842, 28164.47437502538014, 26410.25413868516262, 27736.42235187510232, 
200,298676.32085456262575, 327984.80712032620795, 355268.40579514647834, 364423.22763555956772, 363911.07106217910768, 364524.09601079480490, 365072.21009718178539, 354046.94554432539735, 315025.39602469844976, 242498.14273110590875, 154934.62852980301250, 88038.51953184188460, 49747.66547523276677, 29960.41313419514699, 19721.45455407123154, 14438.24186191734225, 11268.15120189437584, 9721.45216651269402, 6085.65380935639132, 8581.08860378231111, 
300,309218.43879275192739, 316377.12599993654294, 314259.01348599768244, 317748.58687350037508, 322211.67419697006699, 329613.08405612851493, 333876.03812592272880, 325170.05970570794307, 292781.09639169875300, 232035.13088151434204, 154069.67970960016828, 90851.81100314999640, 52883.08257661836979, 32599.63186656685866, 21755.62345349698444, 15897.22178000383610, 12434.49319618676964, 10409.98913495895431, 9198.21430171266002, 9015.33491837215115, 
400,292909.65822996135103, 291567.48282555164769, 289671.41404846747173, 286504.16561724431813, 280446.72783854731824, 274819.07835065928521, 264165.35906992462697, 249236.20496614993317, 223039.22340318537317, 179976.32913537320565, 122867.92538742594479, 74466.81344576709671, 44383.18698703252448, 27889.80882878530610, 18902.97771038163410, 13902.51930207670921, 10916.27275822820775, 9276.38279124386099, 8127.82454627147672, 7958.65898778148767, 
500,290004.22219778568251, 287042.42504412389826, 283041.71581355563831, 276182.39283225475810, 266543.86985287151765, 257486.23342493016389, 247608.84096850478090, 233740.38474298061919, 207922.46209906725562, 164700.42209178116173, 109225.74850219623477, 64101.14174618414836, 37037.69484839250072, 22627.38028382364064, 14966.91455144088468, 10782.78444156275691, 8340.16532714321693, 7027.07851039157049, 6130.62634623285703, 6073.71746783208073, 
600,290394.77918668906204, 291874.58847176382551, 292669.55099737527780, 291357.16366155981086, 286992.93839556921739, 282038.30917694926029, 274699.92566505965078, 260642.57342665194301, 231236.31697877001716, 180589.96845413622214, 117519.44031646286021, 67634.70659386744956, 38359.74322325757385, 23036.10026152891805, 15013.24112599603541, 10673.22001174362958, 8179.32039399790301, 6824.70675223830222, 5929.89270672093426, 5829.83055965106905, 
700,294188.09841410734225, 299405.50180589710362, 303383.28326008422300, 305667.85476822685450, 304565.66171487909742, 302524.45421468059067, 297788.42535531317117, 285625.98529463529121, 256291.80429908283986, 202514.88140900255530, 133198.49171408356051, 77301.01364203575940, 44098.35567289813480, 26570.51385510426553, 17333.60250435865964, 12307.86576534858250, 9400.24344283618666, 7794.15903999326474, 6719.31357888344337, 6505.78999585008569, 
800,296250.61326896911487, 301068.73646578739863, 303944.79352063313127, 305747.21927371638594, 304431.62389817298390, 302427.57056368759368, 297593.61474054807331, 285588.71187015774194, 256850.89190796075854, 204071.96549355000025, 135263.82811507440056, 79191.18613404186908, 45587.55663361438201, 27715.06497756831959, 18232.69170548890907, 13049.00782735411485, 10033.84815103987421, 8371.97734812217277, 7251.18782168590496, 7049.92800743297357, 
900,295371.12939219968393, 297173.38029883621493, 297113.53465209377464, 296300.97767003852641, 292968.96873828041134, 289533.96251628943719, 283365.39320966915693, 270763.11945244175149, 242918.33050341726630, 193144.81614962048479, 128429.19459212600486, 75537.77953200360935, 43716.48660273473797, 26730.26385954234865, 17686.63355803625018, 12733.50687818479855, 9846.48674169202968, 8264.20975167100914, 7196.61667506304366, 7038.68015492079303, 
1000,294233.02284522505943, 294456.47154064016649, 293196.63534932828043, 291108.11428940296173, 286594.63954434671905, 281831.01940673653735, 274345.25124914437765, 260732.80670970329084, 232752.74056669769925, 184289.77279283312964, 122139.82184748795407, 71661.69805715740949, 41398.76194196709548, 25282.16513752494939, 16716.29350660690397, 12031.76294988591508, 9304.24626516561875, 7814.98730743435863, 6809.90535475294564, 6676.99622387833551, 
1100,294138.30940224445658, 295002.94899123371579, 294483.77286624471890, 293334.76134428702062, 289699.94332921114983, 285309.20547166274628, 277965.71486429573270, 264125.59619370021392, 235523.93016632064246, 185948.03884955900139, 122711.66919525782578, 71634.31069207027031, 41162.74810843955493, 25002.84673896355162, 16446.43113445399285, 11778.37216330307456, 9067.14300121230190, 7583.54661905063676, 6583.59938353507187, 6437.83059360024163, 
1200,295022.92650186095852, 297046.00132914958522, 297548.19111552339746, 297638.60035866178805, 295186.42797651159344, 291729.12851990631316, 285115.41131592117017, 271710.84226034174208, 242967.75805914416560, 192190.32322332120384, 126921.57316312652256, 74065.01175162760774, 42509.99576589663047, 25774.62265621456390, 16916.74934021893569, 12083.35300570665277, 9277.18177831843605, 7735.43887523440480, 6697.26811936743161, 6528.80513751350372, 
