0,597.31209556993531, 592.59259259259261, 585.65153733528552, 576.64584334454594, 565.77086280056574, 553.25034578146608, 539.32584269662914, 524.24639580602889, 508.25921219822112, 491.60180253994270, 474.49584816132858, 457.14285714285711, 439.72150971051667, 422.38648363252378, 405.26849037487341, 388.47523470378775, 372.09302325581399, 356.18878005342833, 
100,588.47590685309990, 588.95277413094527, 586.78823958203509, 586.09973130239382, 590.58826004661967, 601.24554782406835, 610.73927414881757, 608.86323330309472, 581.19091770746195, 517.91430503026322, 443.65518264801585, 381.00033335999996, 338.14805165160681, 318.63754586956918, 312.13147928700113, 305.53966784837132, 297.72280507649810, 305.50384968539299, 
200,600.87721811474057, 612.08149357450054, 621.78059841971231, 630.28033062640020, 637.56640965538770, 638.17297500334030, 627.13754926467789, 600.89029644377842, 554.42391100583586, 484.19106367723032, 409.40346976703080, 347.22863071633662, 300.74170860444252, 267.00953909650559, 248.98377794456647, 236.29080179510743, 201.10801424250133, 257.71343805104510, 
300,606.06807950926373, 614.94935662857472, 618.51453750038422, 623.87661457466459, 626.97012319875023, 624.75333935681601, 616.98156695470925, 600.65612621137132, 564.75039948320386, 498.72075011655937, 423.29756901442153, 358.56499445343610, 309.37942843555368, 273.69931539115834, 250.72155688563680, 234.92008898822323, 221.53999083684963, 216.71693765631528, 
400,600.17488215595699, 598.90243634386002, 596.11087163204195, 594.70614407706523, 591.54899387063665, 590.42057524414099, 587.74028042398049, 575.98423317928336, 542.81783904185068, 479.59838524563747, 407.34269095466414, 345.25690141326305, 298.71245618116563, 265.82510443739142, 243.30846268291884, 228.54209171794270, 218.17783198454390, 217.51648076429478, 
500,599.98506005260117, 594.09239484629541, 586.19989518644979, 581.03170142295528, 576.56006886253499, 570.51482284678320, 559.24254311991490, 539.24673772853498, 502.78388034090528, 442.86609189784610, 376.62555189334950, 320.51898060046545, 278.96311783926421, 249.94251379750267, 230.27418003910478, 217.82786329427049, 209.61746548856243, 209.49697733673739, 
600,596.83070937170453, 592.93875106054747, 588.52178418481242, 586.20347835772782, 582.29055120764065, 575.20037762903689, 563.36623756159133, 542.87390180090131, 504.32647875341223, 441.42004011586198, 372.58414952842554, 314.43888012523814, 271.29349041621879, 240.93509020162983, 220.04775048404906, 206.36561973920504, 196.82065108770635, 195.57027056891144, 
700,595.56691502575404, 596.23975059329814, 596.84863794980140, 597.74530283060540, 596.17446893808312, 591.78378787717031, 583.07489911671564, 564.85370898434837, 525.95597762765590, 460.04657412579127, 387.39060212801587, 325.74320065007549, 279.77059594469495, 247.18361789551068, 224.62939791035984, 209.57262820375351, 199.21500636546310, 197.30840528109755, 
800,596.86926615240247, 600.75511942850653, 603.34589953883915, 604.55442065808415, 603.51760448773689, 600.82362286591911, 594.26598086376828, 577.43325830886636, 538.94630248803503, 472.34196977967474, 398.45390371897327, 335.63626807096171, 288.77000705321501, 255.57314216582276, 232.64030944326413, 217.33597553042139, 206.85383912679202, 204.73248497338062, 
900,598.74175703887681, 601.84585284182162, 602.58234942369847, 602.65698445085218, 601.79276947465496, 599.79379571035440, 593.33742103599968, 576.11392068546888, 537.88656190272332, 472.14435036479614, 399.17384221090890, 337.17288130407150, 290.99543122501581, 258.39163648254163, 235.93528830681802, 221.06253656107904, 210.86531237265746, 208.92764781415158, 
1000,599.64281464082194, 599.67023828961521, 597.59873007708791, 596.69794580292330, 595.27223123223780, 592.27765292379081, 584.54714172327840, 566.81000747842336, 529.50140325432017, 465.49604209213948, 394.25123150705394, 333.64605842057313, 288.49373914078376, 256.62565000242324, 234.66426439501626, 220.16378255188030, 210.15208834006020, 208.42887513557551, 
1100,598.79780126115315, 597.51577055664791, 594.76080313749537, 593.44406718572088, 591.08468729833794, 586.64217786123220, 577.69181666173949, 559.48175379931604, 522.24821653807896, 458.82225561443875, 388.37949971967731, 328.50754274901618, 283.91966151570324, 252.45672230554649, 230.77959175747446, 216.51038771613020, 206.67516398456905, 205.22857557408676, 
1200,597.31187761510137, 596.91094441792700, 595.47513626717557, 594.57589558661630, 592.02768777998585, 587.36062032745053, 578.45072200695461, 560.16402861027223, 522.25267176372984, 458.02584935675310, 386.99895352951143, 326.73168429402511, 281.87934310592050, 250.23022473200567, 228.43989970622047, 214.08644654440226, 204.24587581900343, 202.77551686084257, 
1300,596.91192648459491, 597.99316302043155, 597.83698957674176, 597.35138702879124, 595.18081577110718, 591.26006045726797, 583.19616867417938, 565.28907493753718, 527.02256647334025, 461.95736586474089, 390.02838473477857, 328.99757438760355, 283.56479033107865, 251.48471029490892, 229.38723590989611, 214.77426178034005, 204.76122154398936, 203.05906820556837, 
1400,597.70366193018799, 599.36404081467867, 599.29506221122585, 598.86560050868513, 597.20549897924843, 594.04853057872867, 586.52626139472500, 568.75439230933534, 530.42365796973286, 465.12047382900874, 392.86466552559364, 331.53695315668637, 285.87774826228025, 253.63640441942374, 231.42122055196506, 216.70822319624261, 206.60433618037214, 204.78377808447723, 
1500,598.63532525531548, 599.70460006931125, 598.87972728050715, 598.39965443475751, 597.01657552597464, 593.96651222375453, 586.26973644636962, 568.36455782019857, 530.27989794616440, 465.36302915350478, 393.41781342194622, 332.31231382808744, 286.80578685097703, 254.67006945583074, 232.51621872859650, 217.84401261806281, 207.73417565377156, 205.91469929588945, 
